STATE,AFGHANISTAN,ANGOLA,ARMENIA,AZERBAIJAN,BAHAMAS,BANGLADESH,BELARUS,BHUTAN,BOTSWANA,BURMA,BURUNDI,CAMBODIA,CAMEROON,CENTRAL AFRICAN REPUBLIC,CHAD,CHINA,COLOMBIA,CONGO,CUBA,DEM. REP. CONGO,DJIBOUTI,ECUADOR,EGYPT,EQUATORIAL GUINEA,ERITREA,ETHIOPIA,GABON,GEORGIA,GUINEA,INDIA,INDONESIA,IRAN,IRAQ,IVORY COAST,JAMAICA,JORDAN,KAZAKHSTAN,KENYA,KOREA NORTH,KUWAIT,KYRGYZSTAN,LEBANON,LIBERIA,MALAYSIA,MALI,MOLDOVA,NAMIBIA,NEPAL,NETHERLANDS,NIGERIA,PAKISTAN,PALESTINE,PHILIPPINES,REPUBLIC OF SOUTH SUDAN,RUSSIA,RWANDA,SAUDI ARABIA,SENEGAL,SIERRA LEONE,SOMALIA,SOUTH AFRICA,SRI LANKA (CEYLON),STATELESS CITIZENSHIP,SUDAN,SYRIA,TANZANIA,THAILAND,THE GAMBIA,TOGO,TUNISIA,TURKEY,TURKMENISTAN,UGANDA,UKRAINE,UNITED KINGDOM,UZBEKISTAN,VIETNAM,YEMEN,ZIMBABWE
NORTH CAROLINA,31,1,0,3,0,0,0,210,0,865,71,0,2,13,1,1,44,0,50,381,0,1,0,0,65,43,0,0,0,0,1,29,242,0,0,0,11,0,0,0,0,0,0,0,0,29,0,11,0,0,2,2,0,0,0,1,0,0,0,210,0,4,0,72,37,0,1,0,0,0,0,0,6,30,0,0,5,0,0
NORTH DAKOTA,2,0,0,0,0,0,0,190,0,4,0,0,0,0,0,0,0,0,0,36,0,0,0,0,3,10,0,0,0,1,0,3,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
OHIO,30,0,0,0,0,0,1,1038,0,296,57,0,0,15,0,0,14,12,3,224,0,0,0,0,74,42,0,3,0,2,0,16,402,0,0,0,0,1,0,0,0,0,3,0,0,0,0,31,0,0,14,2,0,0,11,9,0,0,0,490,0,1,0,81,48,0,0,0,0,1,0,0,9,50,2,5,0,0,2
OKLAHOMA,0,0,0,0,0,0,0,0,0,400,0,0,3,0,0,0,0,0,0,6,0,0,0,0,13,1,0,0,0,0,0,5,26,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,9,0,0,0,0,0
OREGON,7,0,0,0,0,0,13,66,0,258,0,0,0,1,0,0,9,0,0,55,0,0,2,0,10,3,0,0,0,0,2,29,183,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,0,0,0,0,0,0,16,5,0,0,0,220,0,0,0,0,1,0,0,0,0,0,0,0,2,117,0,4,8,0,0
PENNSYLVANIA,50,0,0,0,0,0,0,637,0,396,26,0,0,37,0,3,4,0,23,466,0,0,0,0,36,25,0,0,0,3,3,16,267,6,0,1,5,0,0,0,0,0,1,0,1,0,1,38,0,0,8,7,0,6,8,25,0,0,0,376,0,0,0,74,112,1,6,0,0,0,0,0,3,93,0,0,0,0,0
RHODE ISLAND,0,3,0,0,0,0,0,2,0,9,19,0,0,0,0,0,24,0,1,36,0,5,0,0,11,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SOUTH CAROLINA,4,0,0,0,0,0,0,4,1,108,6,0,0,0,0,0,0,0,3,37,0,0,0,0,30,0,0,0,0,0,1,5,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
SOUTH DAKOTA,0,0,0,0,0,0,0,60,0,152,12,0,0,0,0,0,0,0,0,30,0,0,0,0,30,7,0,0,0,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,138,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TENNESSEE,4,0,0,0,0,0,0,138,0,393,52,0,0,0,0,0,14,0,60,206,0,0,0,0,3,7,0,0,0,0,0,12,298,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,8,1,0,8,2,8,0,0,0,215,0,0,0,57,35,0,0,0,0,0,0,0,4,3,0,0,0,0,0
TEXAS,58,0,0,0,0,0,1,397,0,2724,117,0,1,8,2,0,8,1,119,772,0,0,0,0,169,25,0,0,0,1,11,312,1825,0,0,6,0,0,0,0,0,0,1,0,0,0,0,25,1,1,10,1,1,10,1,14,0,1,0,571,1,4,0,84,185,0,4,0,1,0,0,0,0,1,0,0,2,3,0
UTAH,16,1,0,0,0,0,1,70,0,248,34,0,0,2,1,0,0,0,2,151,0,0,1,0,30,13,0,0,0,0,0,10,143,0,0,0,0,0,3,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,314,0,0,0,52,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0
VERMONT,0,0,0,0,0,0,0,186,0,7,6,0,0,0,0,0,0,1,0,31,0,0,0,0,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VIRGINIA,39,0,0,0,0,0,0,117,0,68,45,0,0,0,0,1,18,0,11,215,0,0,0,0,26,6,0,0,0,1,0,106,503,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,1,0,0,5,2,0,0,0,62,0,1,0,33,13,0,0,0,0,0,0,1,0,19,0,4,0,0,0
WASHINGTON,19,0,0,0,0,0,7,118,0,414,25,0,3,7,1,1,6,0,12,157,0,0,0,0,83,26,0,5,0,0,2,138,528,0,0,2,15,1,0,0,1,0,0,0,0,97,0,8,0,0,0,1,0,0,54,0,0,0,0,357,0,5,0,26,25,0,1,0,0,0,0,0,0,466,0,7,7,0,0
WEST VIRGINIA,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WISCONSIN,0,0,0,0,0,0,2,18,0,935,11,0,0,0,0,0,4,0,12,79,0,0,0,0,15,1,0,0,0,0,6,3,139,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,0,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
